iter	Passed	Remaining
543	425	356
544	426	355
545	426	354
546	427	353
547	427	352
548	428	351
549	428	350
550	429	349
551	429	348
552	430	347
553	431	347
554	431	346
555	432	345
556	432	344
557	433	343
558	433	342
559	434	341
560	434	340
561	435	339
562	436	338
563	437	337
564	437	336
565	438	335
566	438	335
567	439	334
568	439	333
569	440	332
570	440	331
571	441	330
572	442	329
573	442	328
574	443	327
575	443	326
576	444	325
577	444	324
578	445	323
579	445	322
580	446	321
581	447	321
582	447	320
583	448	319
584	448	318
585	449	317
586	449	316
587	450	315
588	451	314
589	451	313
590	452	312
591	452	312
592	453	311
593	454	310
594	454	309
595	455	308
596	456	307
597	456	307
598	457	306
599	458	305
600	458	304
601	459	303
602	459	302
603	460	301
604	461	301
605	461	300
606	462	299
607	462	298
608	463	297
609	463	296
610	464	295
611	464	294
612	465	293
613	466	292
614	466	292
615	467	291
616	467	290
617	468	289
618	468	288
619	469	287
620	469	286
621	470	285
622	470	284
623	471	283
624	471	282
625	472	282
626	472	281
627	472	280
628	473	279
629	474	278
630	474	277
631	475	276
632	475	275
633	476	274
634	476	274
635	477	273
636	477	272
637	478	271
638	478	270
639	479	269
640	479	268
641	480	267
642	480	266
643	481	266
644	481	265
645	482	264
646	482	263
647	483	262
648	484	261
649	484	260
650	485	260
651	485	259
652	485	258
653	486	257
654	486	256
655	487	255
656	488	254
657	488	254
658	489	253
659	490	252
660	491	251
661	491	251
662	492	250
663	492	249
664	493	248
665	494	247
666	494	246
667	495	246
668	495	245
669	496	244
670	496	243
671	497	242
672	497	241
673	498	240
674	498	240
675	499	239
676	499	238
677	500	237
678	500	236
679	501	236
680	502	235
681	502	234
682	503	233
683	503	232
684	504	231
685	504	231
686	505	230
687	505	229
688	506	228
689	506	227
690	507	226
691	507	225
692	508	225
693	508	224
694	509	223
695	509	222
696	510	221
697	510	220
698	510	220
699	511	219
700	511	218
701	512	217
702	512	216
703	513	215
704	513	215
705	514	214
706	514	213
707	515	212
708	515	211
709	516	210
710	517	210
711	517	209
712	518	208
713	518	207
714	519	206
715	519	206
716	520	205
717	520	204
718	521	203
719	521	202
720	522	202
721	522	201
722	523	200
723	523	199
724	524	198
725	524	198
726	525	197
727	525	196
728	526	195
729	526	194
730	527	194
731	527	193
732	528	192
733	529	191
734	529	190
735	530	190
736	530	189
737	531	188
738	531	187
739	532	186
740	532	186
741	533	185
742	533	184
743	534	183
744	534	182
745	535	182
746	535	181
747	536	180
748	536	179
749	537	179
750	537	178
751	538	177
752	538	176
753	539	175
754	539	175
755	540	174
756	540	173
757	541	172
758	541	172
759	542	171
760	542	170
761	543	169
762	543	168
763	544	168
764	544	167
765	545	166
766	545	165
767	546	165
768	546	164
769	547	163
770	547	162
771	548	161
772	548	161
773	549	160
774	549	159
775	550	158
776	550	158
777	551	157
778	551	156
779	552	155
780	552	154
781	553	154
782	553	153
783	553	152
784	554	151
785	555	151
786	555	150
787	556	149
788	556	148
789	557	148
790	557	147
791	558	146
792	558	145
793	559	145
794	559	144
795	560	143
796	560	142
797	561	142
798	561	141
799	562	140
800	562	139
801	563	139
802	563	138
803	564	137
804	564	136
805	565	136
806	565	135
807	566	134
808	566	133
809	567	133
810	567	132
811	568	131
812	568	130
813	569	130
814	569	129
815	570	128
816	570	127
817	571	127
818	571	126
819	572	125
820	572	124
821	573	124
822	573	123
823	573	122
824	574	121
825	574	121
826	575	120
827	575	119
828	576	118
829	576	118
830	577	117
831	577	116
832	578	115
833	578	115
834	579	114
835	579	113
836	580	112
837	580	112
838	581	111
839	581	110
840	582	110
841	583	109
842	583	108
843	584	108
844	585	107
845	585	106
846	586	105
847	587	105
848	587	104
849	588	103
850	588	103
851	589	102
852	589	101
853	590	100
854	590	100
855	591	99
856	591	98
857	592	98
858	592	97
859	593	96
860	593	95
861	594	95
862	594	94
863	595	93
864	595	92
865	596	92
866	596	91
867	597	90
868	597	90
869	598	89
870	598	88
871	599	87
872	599	87
873	600	86
874	600	85
875	601	85
876	601	84
877	602	83
878	602	82
879	603	82
880	603	81
881	604	80
882	604	80
883	605	79
884	605	78
885	606	78
886	607	77
887	607	76
888	608	75
889	608	75
890	609	74
891	609	73
892	610	73
893	611	72
894	611	71
895	612	71
896	612	70
897	613	69
898	613	68
899	614	68
900	614	67
901	615	66
902	615	66
903	616	65
904	616	64
905	617	64
906	617	63
907	617	62
908	618	61
909	618	61
910	619	60
911	619	59
912	620	59
913	620	58
914	621	57
915	621	57
916	622	56
917	623	55
918	623	54
919	624	54
920	624	53
921	625	52
922	626	52
923	626	51
924	627	50
925	627	50
926	628	49
927	628	48
928	629	48
929	629	47
930	630	46
931	630	46
932	631	45
933	632	44
934	632	43
935	633	43
936	633	42
937	634	41
938	634	41
939	635	40
940	635	39
941	636	39
942	636	38
943	637	37
944	637	37
945	638	36
946	638	35
947	639	35
948	639	34
949	640	33
950	640	33
951	641	32
952	641	31
953	642	30
954	643	30
955	643	29
956	644	28
957	644	28
958	645	27
959	645	26
960	646	26
961	646	25
962	647	24
963	647	24
964	648	23
965	648	22
966	649	22
967	650	21
968	650	20
969	651	20
970	651	19
971	652	18
972	652	18
973	653	17
974	654	16
975	654	16
976	655	15
977	655	14
978	656	14
979	656	13
980	657	12
981	657	12
982	658	11
983	658	10
984	659	10
985	659	9
986	660	8
987	660	8
988	661	7
989	661	6
990	662	6
991	663	5
992	663	4
993	664	4
994	664	3
995	665	2
996	665	2
997	666	1
998	666	0
999	667	0
